Año;Hora_24;Mes;Dia;Mes resumido;dia resumido;Fecha Dia;Semana2;Delito;Total General Año Anterior;Estación Final;CAI Final;Cuadrante Final;Genero Final;Zona Final;Clase Sitio Final;Arma Final;Modalidad Final;Causa Lesion Final;Barrio Hecho Final;Grupo Edad Ley Final
2026;10;Febrero;Martes;Feb;Mar;3;6;H. Automotores;0;E-Norte;CAI 4;Z. Atención 16 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Las Americas;Infancia (0 a 11 años)
2026;10;Febrero;Martes;Feb;Mar;17;8;H. Automotores;0;E-Norte;CAI 3;Z. Atención 10 Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Engaño;No Reportado;Pueblillo;Adolescencia (12 a 17 años) 
2026;8;Abril;Miércoles;Abr;Mié;8;15;H. Automotores;0;E-Norte;CAI 1;Z. Atención 2 Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;Antonio Nariño;Adolescencia (12 a 17 años) 
2026;9;Julio;Miércoles;Jul;Mié;15;29;H. Automotores;0;E-Norte;CAI 1;Z. Atención 2 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Campamento;Adolescencia (12 a 17 años) 
2026;10;Junio;Miércoles;Jun;Mié;10;24;H. Automotores;0;E-Norte;CAI 1;Z. Atención 2 Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Factor De Oportunidad;No Reportado;Campo Bello Norte;Adolescencia (12 a 17 años) 
2026;9;Abril;Jueves;Abr;Jue;2;14;H. Automotores;0;E-Sur;CAI 10;Z. Atención 22 Sur;Masculino;Urbano;Bahia;Llave Maestra;Halado;No Reportado;Parque Las Garzas;Adolescencia (12 a 17 años) 
2026;9;Junio;Jueves;Jun;Jue;25;26;H. Automotores;0;E-Norte;CAI 1;Z. Atención 1 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;El Recuerdo;Adolescencia (12 a 17 años) 
2026;7;Mayo;Viernes;May;Vie;22;21;H. Automotores;0;E-Norte;CAI 4;Z. Atención 13 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Centro;Adolescencia (12 a 17 años) 
2026;8;Abril;Viernes;Abr;Vie;17;16;H. Automotores;0;E-Norte;CAI 4;Z. Atención 14 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Centro;Infancia (0 a 11 años)
2026;8;Marzo;Viernes;Mar;Vie;20;12;H. Automotores;0;E-Norte;CAI 4;Z. Atención 15 Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;Valencia;Infancia (0 a 11 años)
2026;9;Marzo;Viernes;Mar;Vie;13;11;H. Automotores;0;E-Norte;CAI 1;Z. Atención 2 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Campamento;Adolescencia (12 a 17 años) 
2026;11;Junio;Viernes;Jun;Vie;12;24;H. Automotores;0;E-Norte;CAI 4;Z. Atención 16 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Valencia;Adolescencia (12 a 17 años) 
2026;6;Julio;Sábado;Jul;Sáb;25;30;H. Automotores;0;E-Norte;CAI 4;Z. Atención 14 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Centro;Infancia (0 a 11 años)
2026;6;Julio;Sábado;Jul;Sáb;25;30;H. Automotores;0;E-Norte;CAI 3;Z. Atención 12 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Bolivar;Adolescencia (12 a 17 años) 
2026;8;Enero;Sábado;Ene;Sáb;3;1;H. Automotores;0;E-Sur;CAI 9;Z. Atención 20 Sur;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Kennedy;Adolescencia (12 a 17 años) 
2026;6;Febrero;Domingo;Feb;Dom;8;7;H. Automotores;0;E-Sur;CAI 10;Z. Atención 22 Sur;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Lomas De Granada;Infancia (0 a 11 años)
